category,brand,model,price,image_url,image_file,source_name,source_url,detail_url,ram,storage,processor,display,gpu,battery,camera,os,id,usage,price_text
Laptop,ASUS,"ASUS ROG STRIX G18 G814PP-DS94 18"" QHD+ Gaming Laptop [240Hz][Ryzen 9 8940HX][RTX 5070 8GB][16GB DDR5][1TB SSD]",5000.0,https://benstore.com.ph/36868-home_default/asus-rog-strix-g18-g814pp-ds94-18-qhd-gaming-laptop-240hz-ryzen-9-8940hx-rtx-5070-8gb-16gb-ddr5-1tb-ssd-.jpg,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_ASUS_ROG_STRIX_G18_G814PP-DS94_18_QHD_Gaming_Laptop_240Hz_Ryzen_9_8940HX_RTX_507_5dc05783ea.jpg,Benstore Laptops,https://benstore.com.ph/327-laptops?page=4,https://benstore.com.ph/asus/6391-asus-rog-strix-g18-g814pp-ds94-18-qhd-gaming-laptop-240hz-ryzen-9-8940hx-rtx-5070-8gb-16gb-ddr5-1tb-ssd-.html,8GB,1TB SSD,Ryzen 9 8940HX,QHD | 240Hz,RTX 5070 8GB,,,,1,,
Laptop,ASUS,"ASUS TUF A14 FA401KM-DS74 14"" Gaming Laptop [165Hz][AMD Ryzen Al 7 350][RTX 5060 8GB][16GB LPDDR5X][1TB SSD][Jaeger Gray]",5000.0,,,Benstore Laptops,https://benstore.com.ph/327-laptops?page=4,https://benstore.com.ph/327-laptops?page=4,8GB,1TB SSD,,165Hz,RTX 5060 8GB,,,,2,,
Laptop,ASUS,"ASUS ROG Strix G16 G614FR-DS96 16"" QHD+ Gaming Laptop [240Hz][Ryzen 9 9955HX3D][RTX 5070Ti 12GB][32GB DDR5][1TB SSD]",5000.0,https://benstore.com.ph/36327-home_default/asus-rog-strix-g16-g614fr-ds96-16-qhd-gaming-laptop-240hz-ryzen-9-9955hx3d-rtx-5070ti-12gb-32gb-ddr5-1tb-ssd-.jpg,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_ASUS_ROG_Strix_G16_G614FR-DS96_16_QHD_Gaming_Laptop_240Hz_Ryzen_9_9955HX3D_RTX_5_106811697b.jpg,Benstore Laptops,https://benstore.com.ph/327-laptops?page=5,https://benstore.com.ph/laptops/6324-asus-rog-strix-g16-g614fr-ds96-16-qhd-gaming-laptop-240hz-ryzen-9-9955hx3d-rtx-5070ti-12gb-32gb-ddr5-1tb-ssd-.html,12GB,1TB SSD,Ryzen 9 9955HX3D,QHD | 240Hz,RTX 5070Ti 12GB,,,,3,,
Laptop,ASUS,"ASUS ROG Zephyrus G16 GU605CW 16"" Gaming Laptop [OLED][240Hz][Ultra 9 285H][RTX 5080 16GB][32GB LPDDR5X][2TB SSD]",5000.0,https://benstore.com.ph/36252-home_default/asus-rog-zephyrus-g16-gu605cw-16-gaming-laptop-oled-240hz-ultra-9-285h-rtx-5080-16gb-32gb-lpddr5x-2tb-ssd-.jpg,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_ASUS_ROG_Zephyrus_G16_GU605CW_16_Gaming_Laptop_OLED_240Hz_Ultra_9_285H_RTX_5080__e43b536eb6.jpg,Benstore Laptops,https://benstore.com.ph/327-laptops?page=5,https://benstore.com.ph/asus/6314-asus-rog-zephyrus-g16-gu605cw-16-gaming-laptop-oled-240hz-ultra-9-285h-rtx-5080-16gb-32gb-lpddr5x-2tb-ssd-.html,16GB,2TB SSD,,OLED | 240Hz,RTX 5080 16GB,,,,4,,
Laptop,ASUS,"ASUS ROG FLOW Z13 GZ302EA-XS96 13.4"" Gaming Laptop [180Hz][Ryzen AI MAX+ 395][Integrated AMD Radeon][32GB LPDDR5X][1TB SSD]",5000.0,https://benstore.com.ph/35803-home_default/asus-rog-flow-z13-gz302ea-xs96-134-gaming-laptop-180hz-ryzen-ai-max-395-integrated-amd-radeon-32gb-lpddr5x-1tb-ssd-.jpg,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_ASUS_ROG_FLOW_Z13_GZ302EA-XS96_13_4_Gaming_Laptop_180Hz_Ryzen_AI_MAX_395_Integra_9404dc2115.jpg,Benstore Laptops,https://benstore.com.ph/327-laptops?page=7,https://benstore.com.ph/asus/6264-asus-rog-flow-z13-gz302ea-xs96-134-gaming-laptop-180hz-ryzen-ai-max-395-integrated-amd-radeon-32gb-lpddr5x-1tb-ssd-.html,32GB LPDDR5X,1TB SSD,,180Hz,AMD Radeon,,,,5,,
Laptop,ASUS,"Asus Zenbook S 13 UX5304VA-NQ204WS | 13.3"" OLED | i7-1355U | Iris® Xe Graphics | 16 GB RAM | 512 GB SSD | WIN 11",5000.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=3,https://www.gigahertz.com.ph/collections/all-laptops?page=3,16 GB RAM,512 GB SSD,,OLED,,,,WIN 11,6,,
Laptop,ASUS,"Asus ExpertBook B1 B1403CVA-S61329, 14In FHD | Intel Core i3-1315U | 8GB DDR5 RAM | 512GB SSD | Win 11",5000.0,,,VillMan Shop New Models,https://shop.villman.com/collections/new-models,https://shop.villman.com/collections/new-models,8GB DDR5,512GB SSD,Intel Core i3-1315U,14In | FHD,,,,Win 11,7,,
Laptop,ASUS,Asus Asus ROG Strix G16 G614JU-N4450W 16inch WQXGA 240Hz | Intel Core i7-13650HX | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 4050 6GB | Windows 11 Home,5000.0,https://shop.villman.com/cdn/shop/files/G614JU-N4450W_{width}x.jpg?v=1728642642,,VillMan Shop New Models,https://shop.villman.com/collections/new-models?page=2,https://shop.villman.com/products/asus-rog-strix-g16-g614ju-n4450w,16GB RAM,1TB SSD,Intel Core i7-13650HX,16inch | WQXGA | 240Hz,NVIDIA GeForce RTX 4050 6GB,,,Windows 11 Home,8,,
Laptop,ASUS,Asus Zenbook S13 UX5304MA-NQ152WS 13.3inch 3K OLED 60Hz | Intel Core Ultra 7-155U | 16GB RAM | 1TB SSD | Intel Graphics | Windows 11,5500.0,,,VillMan Shop New Models,https://shop.villman.com/collections/new-models,https://shop.villman.com/collections/new-models,16GB RAM,1TB SSD,Intel Core Ultra 7-155U,13.3inch | OLED | 60Hz,,,,Windows 11,9,,
Laptop,ASUS,"Asus TUF Gaming A15 FA506NFR-HN005W | 15.6"" FHD | Ryzen 7 7435HS | GeForce RTX 2050 | 8GB RAM | 512GB SSD | WIN 11",5900.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=6,https://www.gigahertz.com.ph/collections/all-laptops?page=6,8GB RAM,512GB SSD,Ryzen 7 7435HS,FHD,GeForce RTX 2050,,,WIN 11,10,,
Laptop,ASUS,"Asus X515EP-BQ301TS | 15.6"" FHD | i7-1165G7 | GeForce MX330 | 8GB RAM | 1TB SSD | WIN 10 / WIN 11",6000.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=2,https://www.gigahertz.com.ph/collections/all-laptops?page=2,8GB RAM,1TB SSD,,FHD,,,,WIN 11,11,,
Laptop,ASUS,"Asus Expertbook P2451FB-EB0364R | 14"" FHD | i3-10110U | GeForce MX110 | 8GB RAM | 1TB HDD + 240GB SSD | WIN 10 PRO",6000.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=3,https://www.gigahertz.com.ph/collections/all-laptops?page=3,8GB RAM,1TB HDD,,FHD,,,,WIN 10,12,,
Laptop,ASUS,"ASUS Gaming V16 V3607VH-RP521W | 16"" FHD+ | Intel Core 5 | NVIDIA® GeForce RTX™ 5050 | 16GB RAM | 512GB SSD | WIN 11",6000.0,https://www.gigahertz.com.ph/cdn/shop/files/2026-04-27_ASUSGamingV16V3607VH-RP521W.jpg?v=1777948215&width=1600,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_ASUS_Gaming_V16_V3607VH-RP521W_16_FHD_Intel_Core_5_NVIDIA_GeForce_RTX_5050_16GB__8c10b6738f.jpg,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=4,https://www.gigahertz.com.ph/products/asus-gaming-v16-v3607vh-rp521w-16-fhd-intel-core-5-nvidia%C2%AE-geforce-rtx%E2%84%A2-5050-16gb-ram-512gb-ssd-win-11,16GB RAM,512GB SSD,Intel Core 5,00 In | FHD,,,,WIN 11,13,,
Laptop,ASUS,"ASUS TUF Gaming A16 FA607NUG-RL118WSM | 16"" WUXGA | AMD Ryzen 7 7445HS | GeForce RTX 4050 | 16GB RAM | 512GB SSD | WIN 11",6000.0,https://www.gigahertz.com.ph/cdn/shop/files/2026-04-27_ASUSTUFGamingA16FA607NUG-RL118WSM.jpg?v=1777952794&width=1600,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_ASUS_TUF_Gaming_A16_FA607NUG-RL118WSM_16_WUXGA_AMD_Ryzen_7_7445HS_GeForce_RTX_40_b74b68a30b.jpg,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=4,https://www.gigahertz.com.ph/products/lap-asus-fa607nug-rl118wsm-r7-7445hs-rtx4050-6gb-512gb-ssd-16gb-win11-gray,16GB RAM,512GB SSD,AMD Ryzen 7 7445HS,00 In | WUXGA,GeForce RTX 4050,,,WIN 11,14,,
Laptop,ASUS,Asus ROG Zephyrus G14GA403WP-QS024WSM | AMD Ryzen™ AI 9 HX 370 | NVIDIA® GeForce RTX™ 5070 | 32GB RAM | 1TB SSD | WIN11,6000.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=4,https://www.gigahertz.com.ph/collections/all-laptops?page=4,32GB RAM,1TB SSD,,,,,,WIN11,15,,
Laptop,ASUS,ASUS ROG Strix G16 G615LW-S5169WSM | ULTRA 9 275HX RTX5080 | 1TB SSD | 32GB RAM | WIN 11,6000.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=5,https://www.gigahertz.com.ph/collections/all-laptops?page=5,32GB RAM,1TB SSD,,,RTX5080,,,WIN 11,16,,
Laptop,ASUS,"Asus Zenbook S 13 UX5304VA-NQ062WS | 13.3"" OLED | i5-1335U | Iris® Xe Graphics | 16 GB RAM | 512 GB SSD | WIN 11",6000.0,https://www.gigahertz.com.ph/cdn/shop/files/AsusZenbookS13UX5304VA-NQ062WS.jpg?v=1778641897&width=1600,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_Asus_Zenbook_S_13_UX5304VA-NQ062WS_13_3_OLED_i5-1335U_Iris_Xe_Graphics_16_GB_RAM_7deab1e688.jpg,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=6,https://www.gigahertz.com.ph/products/asus-zenbook-s-13-ux5304va-nq062ws,16 GB RAM,512 GB SSD,,OLED,,,,WIN 11,17,,
Laptop,ASUS,Asus ROG Zephyrus G14 GA403WM-QS020WSM | AMD Ryzen™ AI 9 | NVIDIA® GeForce RTX™ 5060 | 32GB RAM | 1TB SSD | WIN 11,6000.0,,,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=6,https://www.gigahertz.com.ph/collections/all-laptops?page=6,32GB RAM,1TB SSD,,,,,,WIN 11,18,,
Laptop,ASUS,Asus ROG Zephyrus G16 GU605MZ-QR100WSM 16inch WQXGA OLED | Intel Core Ultra 9 185H | 32GB RAM | 2TB SSD | NVIDIA GeForce RTX 4080 12GB | Windows 11 Home,6000.0,,,VillMan Shop New Models,https://shop.villman.com/collections/new-models?page=3,https://shop.villman.com/collections/new-models?page=3,32GB RAM,2TB SSD,Intel Core Ultra 9 185H,16inch | OLED | WQXGA,NVIDIA GeForce RTX 4080 12GB,,,Windows 11 Home,19,,
Laptop,ASUS,"Asus TUF Gaming A15 FA506NFR-HN005W | 15.6"" FHD | Ryzen 7 7435HS | GeForce RTX 2050 | 8GB RAM | 512GB SSD | WIN 11",6500.0,https://www.gigahertz.com.ph/cdn/shop/files/2026-04-27_AsusTUFGamingA15FA506NFR-HN005W.jpg?v=1777952747&width=1600,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_Asus_TUF_Gaming_A15_FA506NFR-HN005W_15_6_FHD_Ryzen_7_7435HS_GeForce_RTX_2050_8GB_ff619e41b3.jpg,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=6,https://www.gigahertz.com.ph/products/asus-tuf-gaming-a15-fa506nfr-hn005w-15-6-fhd-ryzen-7-7435hs-geforce-rtx-2050-8gb-ram-512gb-ssd-win-11,8GB RAM,512GB SSD,Ryzen 7 7435HS,FHD,GeForce RTX 2050,,,WIN 11,20,,
Laptop,ASUS,"Asus X515EP-BQ301TS | 15.6"" FHD | i7-1165G7 | GeForce MX330 | 8GB RAM | 1TB SSD | WIN 10 / WIN 11",7000.0,https://www.gigahertz.com.ph/cdn/shop/files/2026-04-08_LAP-ASUSX515EP-BQ301TSI7-1165G7MX3302GB1TB_256GBSSD8GBWIN10GREY.jpg?v=1776230072&width=1600,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_Asus_X515EP-BQ301TS_15_6_FHD_i7-1165G7_GeForce_MX330_8GB_RAM_1TB_SSD_WIN_10_WIN__924443009a.jpg,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=2,https://www.gigahertz.com.ph/products/asus-x515ep-bq301ts,8GB RAM,1TB SSD,,00 In | FHD,,,,WIN 11,21,,
Laptop,ASUS,"Asus X415EP-EB213T | 14"" FHD | i5-1135G7 | NVIDIA GeForce MX330 | 8GB RAM | 1TB HDD + 256GB SSD | WIN 10",7000.0,https://www.gigahertz.com.ph/cdn/shop/files/2026-04-30_AsusX415EP-EB213T.jpg?v=1777962220&width=1600,C:\Users\maher\OneDrive\Desktop\find_my_gadget\gadget_images\Laptop_ASUS_Asus_X415EP-EB213T_14_FHD_i5-1135G7_NVIDIA_GeForce_MX330_8GB_RAM_1TB_HDD_256GB_S_4c43f2652f.jpg,GigaHertz All Laptops,https://www.gigahertz.com.ph/collections/all-laptops?page=2,https://www.gigahertz.com.ph/products/asus-x415ep-eb213t-laptop,8GB RAM,1TB HDD,,00 In | FHD,,,,WIN 10,22,,
